Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
115;RTYP;Regionstyp;KINT;1
132;DST;Dienststellennummer;NSTR;3
133;GEDE;Gemeinde;NINT;8
201;DATU;Datum des Vertrages;DAT;10
202;DABE;Datum des Bezugszeitpunktes;DAT;10
203;BEMP;Beginn des Miet-/Pachtverhältnisses;DAT;10
204;ENMP;Ende des Miet-/Pachtverhältnisses;DAT;10
205;ANLA;Anlass des Eigentumsübergangs;KINT;2
206;AREI;Vertragsart bei Wohnungs-/Teileigentum;KINT;1
207;MIEI;Miteigentumsanteil;NINT;5
208;VERA;Veräußerer;KINT;2
209;ERWE;Erwerber;KINT;2
210;VERL;Veräußerer Landwirtschaft;KINT;1
211;ERWL;Erwerber Landwirtschaft;KINT;1
212;VEMI;Vermieter;KINT;2
213;MIET;Mieter;KINT;2
214;VELA;Verpächter Landwirtschaft;KINT;1
215;PALA;Pächter Landwirtschaft;KINT;1
216;PREI;Kaufpreis;NINT;9
217;ENTK;Entstehung des Kaufpreises;KINT;2
218;TENT;Text zur Entstehung des Kaufpreises;STR;60
219;BPRE;Besonderheit bei der Preisvereinbarung;KINT;1
221;VERG;Vergleichsmaßstab;DEZ;5.2
225;PRBE;Preisanteil für den Bestand;DEZ;3.2
228;NEKA;Nettokaltmiete;NINT;6
229;BPAZ;Bruttopachtzins;NINT;6
230;VGMP;Vergleichsmaßstab Miete/Pacht;DEZ;5.2
231;ARMI;Art des Miet-/Pachtverhältnisses;KINT;1
232;MIAN;Quelle der Mietangabe;KINT;2
301;GRUA;Preisbestimmende Grundstücksart;KINT;3
302;GEMV;Gegenstand des Mietvertrages;KINT;2
303;SELB;Objektselbstständigkeit;KINT;1
381;GRTX;Text zur Grundstücksart;STR;32
402;GBRE;Grundstücksbreite;NINT;4
403;FORR;Form/Regelmäßigkeit;NINT;1
406;BAUG;Baugrund;NINT;1
407;ECKE;Ecklage;BOOL;1
408;BAUL;Baulücke;BOOL;1
409;HINT;Hinterland;BOOL;1
411;LQUA;Lagequalität;KINT;1
416;BRWB;Bodenrichtwert Bauland;DEZ;5.2
417;BRGR;Bodenrichtwert Bauland –regelmäßige Grundstückseigenschaften-;STR;64
418;BRBZ;Bodenrichtwert Bauland -beitragsrechtlicher Zustand-;KINT;1
420;ACZA;Ackerzahl;NINT;3
421;GRZA;Grünlandzahl;NINT;3
423;ALTB;Alter des Bestandes;NINT;3
425;BRWL;Bodenrichtwert Landwirtschaft;DEZ;5.2
426;BRLG;Bodenrichtwert Landwirtschaft -Grundstückseigenschaften-;STR;64
427;ZBER;Zulässigkeitsbereich;KINT;2
428;ENTW;Entwicklungszustand;KINT;1
429;BEIT;Beitragsrechtlicher Zustand;KINT;1
430;ZNUT;Zulässige Art der baulichen Nutzung;KSTR;3
431;BAUW;Bauweise;KINT;2
432;ZGEZ;Zulässige Geschosszahl;NINT;2
433;ZGRZ;Zulässige Grundflächenzahl;DEZ;1.2
434;ZGFZ;Zulässige Geschossflächenzahl;DEZ;1.2
435;ZBMZ;Zulässige Baumassenzahl;DEZ;1.1
436;VERF;Verfahrensgebiet;KINT;1
437;GNUT;Geplante Nutzung;KINT;2
438;NUTV;Nutzung vorher;STR;48
439;NUTN;Nutzung nachher;STR;48
440;BOSA;Bodenschatz;DEZ;2.2
442;WGFZ;Wertrelevante Geschossflächenzahl;DEZ;1.2
501;GEBA;Gebäudeart;KINT;3
502;KGEB;Kennziffer Gebäudeart;KINT;1
503;STEL;Stellung des Gebäudes;KINT;1
504;BAUJ;Baujahr;JINT;4
505;BAUV;Jahr baulicher Veränderung;JINT;4
